,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
328,2686.0,-0.02,0.07,0.95,0.24,1.24,3.85,29.61
329,2687.0,-0.02,0.07,0.95,3.85,3.02,1.22,29.57
330,2688.0,-0.01,0.08,0.92,1.1,3.4,-1.05,29.75
331,2689.0,-0.01,0.07,0.93,-4.18,-0.89,-2.2,29.71
332,2690.0,-0.03,0.05,0.97,-3.98,-2.6,-0.08,29.61
333,2691.0,-0.03,0.05,0.98,0.26,0.75,0.75,29.75
334,2692.0,-0.04,0.04,0.99,1.63,1.31,0.85,29.66
335,2693.0,-0.05,0.07,1.01,0.11,0.29,0.5,29.71
336,2694.0,-0.06,0.06,1.01,-0.53,5.86,-1.02,29.71
337,2695.0,-0.03,0.06,0.97,-0.98,10.15,-1.27,29.66
338,2696.0,-0.01,0.05,0.94,-0.11,6.67,-1.36,29.61
339,2697.0,-0.02,0.02,0.92,2.0,1.74,0.29,29.71
340,2698.0,-0.01,0.03,0.93,1.05,0.03,0.12,29.75
341,2699.0,-0.04,0.04,0.97,-1.8,-0.96,-0.11,29.66
342,2700.0,-0.04,0.05,0.97,-4.46,-1.53,-0.69,29.61
343,2701.0,-0.04,0.06,0.98,-3.15,-1.62,0.44,29.71
344,2702.0,-0.05,0.08,1.01,0.47,-0.44,0.78,29.66
345,2703.0,-0.04,0.09,1.0,1.1,3.28,0.55,29.75
346,2704.0,-0.03,0.07,0.99,0.47,5.91,1.08,29.71
347,2705.0,-0.02,0.06,0.96,1.05,4.69,1.45,29.61
348,2706.0,-0.01,0.06,0.95,2.82,3.48,0.23,29.66
349,2707.0,-0.01,0.03,0.93,3.83,2.37,1.08,29.66
350,2708.0,-0.01,0.05,0.95,0.18,-1.31,0.14,29.71
351,2709.0,-0.03,0.08,0.97,-0.93,-4.29,0.08,29.61
352,2710.0,-0.04,0.07,0.98,-0.08,-1.74,-1.21,29.71
353,2711.0,-0.04,0.08,1.01,-1.8,1.08,-3.08,29.75
354,2712.0,-0.03,0.07,1.01,-1.92,2.31,-2.05,29.71
355,2713.0,-0.04,0.06,0.97,0.84,3.22,-0.55,29.61
356,2714.0,-0.03,0.06,0.95,4.41,1.89,0.26,29.66
357,2715.0,-0.03,0.05,0.96,5.47,0.98,-0.47,29.66
358,2716.0,-0.02,0.06,0.96,3.51,1.82,-0.85,29.61
359,2717.0,-0.01,0.06,0.95,-0.09,1.53,-0.05,29.61
360,2718.0,-0.02,0.05,0.95,-1.36,-0.63,-0.11,29.85
361,2719.0,-0.02,0.04,0.95,-0.98,-1.33,-0.35,29.66
362,2720.0,-0.03,0.04,0.97,-1.07,-1.21,-0.11,29.61
363,2721.0,-0.03,0.03,0.98,-0.17,-0.81,0.29,29.71
364,2722.0,-0.04,0.04,0.98,-0.79,-0.27,0.52,29.75
365,2723.0,-0.04,0.06,0.99,-0.12,0.18,1.76,29.66
366,2724.0,-0.03,0.05,0.97,1.47,1.74,0.9,29.61
367,2725.0,-0.03,0.08,0.96,0.38,0.67,-0.6,29.61
368,2726.0,-0.03,0.07,0.97,-0.98,-0.11,-1.42,29.66
369,2727.0,-0.03,0.06,0.97,-1.21,1.05,-0.49,29.71
