,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
172,2995.0,0.29,0.06,0.89,-1.66,-3.63,3.18,28.86
173,2996.0,0.26,0.05,0.91,2.44,-5.56,2.64,28.77
174,2997.0,0.29,0.04,0.92,2.72,-3.22,-1.97,28.86
175,2998.0,0.26,0.03,0.92,1.01,-5.19,-2.29,28.81
176,2999.0,0.26,0.03,0.94,0.44,-7.13,-1.88,28.81
177,3000.0,0.26,0.04,0.92,-2.46,-2.9,-2.81,28.95
178,3001.0,0.26,0.03,0.92,-2.24,-2.98,-0.08,28.86
179,3002.0,0.27,0.03,0.94,-0.41,-5.66,-0.44,28.91
180,3003.0,0.27,0.02,0.95,0.34,-4.17,-0.46,28.91
181,3004.0,0.27,0.02,0.96,2.85,-4.89,0.34,28.86
182,3005.0,0.27,0.01,0.97,4.87,-5.97,1.31,28.86
183,3006.0,0.26,0.03,0.99,-0.27,-2.23,-1.45,28.77
184,3007.0,0.24,0.03,0.99,-7.82,0.44,1.89,28.81
185,3008.0,0.25,0.03,0.98,-11.15,0.46,2.76,28.72
186,3009.0,0.26,0.02,0.96,-9.11,1.85,3.86,28.86
187,3010.0,0.27,0.02,0.93,-3.15,2.2,5.18,28.77
188,3011.0,0.27,0.02,0.92,0.27,-0.7,4.7,28.77
189,3012.0,0.26,0.01,0.9,1.34,-3.07,4.95,28.81
190,3013.0,0.27,0.01,0.9,-0.95,-4.0,4.14,28.86
191,3014.0,0.27,0.01,0.91,-1.6,-5.85,1.51,28.77
192,3015.0,0.28,0.02,0.94,-0.6,-7.21,1.13,28.81
193,3016.0,0.28,0.04,0.98,0.75,-6.85,0.23,28.91
194,3017.0,0.28,0.04,1.0,-1.15,-1.74,-0.96,28.95
195,3018.0,0.27,0.02,0.99,-2.55,1.5,-0.61,28.86
196,3019.0,0.28,0.03,0.96,-3.85,2.49,0.52,28.81
197,3020.0,0.3,0.02,0.9,-4.7,3.02,0.95,28.81
198,3021.0,0.31,0.02,0.89,-2.12,-2.99,1.05,28.91
199,3022.0,0.3,0.03,0.9,2.26,-8.08,-0.4,28.86
200,3023.0,0.31,0.03,0.93,5.11,-6.47,0.08,28.95
201,3024.0,0.29,0.04,0.95,4.35,-4.73,-2.0,28.91
202,3025.0,0.29,0.04,0.96,-0.84,-4.29,-2.35,28.91
203,3026.0,0.29,0.04,0.96,-6.03,-3.24,-2.99,28.86
204,3027.0,0.29,0.02,0.95,-7.83,-2.53,-4.81,28.86
205,3028.0,0.3,0.02,0.95,-4.14,-2.38,-4.64,28.95
206,3029.0,0.31,0.0,0.93,1.56,-3.65,-3.86,28.91
207,3030.0,0.28,-0.01,0.95,3.89,-3.86,-1.66,28.95
208,3031.0,0.27,-0.01,0.95,0.47,-1.95,0.84,28.95
209,3032.0,0.27,-0.01,0.96,-5.44,0.18,0.75,28.86
210,3033.0,0.28,0.01,0.95,-9.57,0.27,1.77,28.91
211,3034.0,0.29,0.01,0.95,-9.28,1.3,1.19,28.91
212,3035.0,0.29,0.0,0.94,-5.76,0.55,-1.48,28.77
213,3036.0,0.29,0.01,0.95,0.14,-1.44,1.21,28.86
214,3037.0,0.28,-0.0,0.96,3.88,-0.09,0.44,28.91
215,3038.0,0.27,-0.01,0.96,5.86,0.43,2.87,28.91
216,3039.0,0.28,-0.01,0.95,7.85,1.53,3.83,28.95
217,3040.0,0.27,-0.01,0.93,4.92,2.69,3.07,28.77
218,3041.0,0.27,0.01,0.93,0.72,2.73,2.75,28.81
219,3042.0,0.28,0.04,0.93,-4.53,2.55,0.14,28.81
220,3043.0,0.28,0.01,0.9,-6.09,2.53,0.0,28.95
221,3044.0,0.28,0.0,0.9,-2.95,-0.72,-0.58,28.86
222,3045.0,0.26,-0.02,0.91,0.27,-2.41,-0.47,28.95
223,3046.0,0.25,-0.03,0.92,2.75,-2.41,-1.77,28.81
224,3047.0,0.24,-0.02,0.92,1.56,-3.27,0.37,28.81
225,3048.0,0.25,-0.01,0.92,0.93,-1.65,0.7,28.86
226,3049.0,0.26,0.0,0.93,-1.21,-0.23,0.75,28.86
227,3050.0,0.26,0.0,0.92,0.5,-0.37,3.36,28.91
228,3051.0,0.26,0.0,0.93,0.67,-1.91,3.51,28.81
229,3052.0,0.26,0.01,0.93,-1.07,0.27,3.57,28.86
230,3053.0,0.24,0.0,0.93,-2.92,0.81,4.5,28.86
231,3054.0,0.25,-0.01,0.91,-5.04,0.96,4.02,28.81
232,3055.0,0.26,0.0,0.9,-9.76,2.46,5.42,28.91
233,3056.0,0.27,0.01,0.89,-10.98,0.32,4.21,28.86
